               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016772,           0.0065652,            0.021059,             0.91962,             0.92999,              0.9728,             0.91484,           0.0030941,           0.0018223,           0.0032491,            0.006535,            0.006535,            0.006535
                  37,            0.017442,            0.006645,             0.02127,             0.89505,             0.91004,             0.95866,              0.8813,           0.0033923,           0.0017677,            0.003323,            0.006436,            0.006436,            0.006436
                  38,            0.017513,           0.0066114,            0.021101,             0.92043,             0.94228,             0.97425,              0.9123,           0.0030295,           0.0017459,           0.0028257,            0.006337,            0.006337,            0.006337
                  39,            0.016622,           0.0064906,            0.019836,             0.95107,             0.94867,             0.97544,             0.93026,           0.0027919,           0.0017007,           0.0024997,            0.006238,            0.006238,            0.006238
                  40,            0.016274,           0.0065811,             0.02003,             0.94821,             0.95978,             0.98002,              0.9201,           0.0031217,           0.0017985,            0.002166,            0.006139,            0.006139,            0.006139
                  41,            0.017231,           0.0065475,             0.02053,             0.95975,             0.94433,             0.98021,             0.92286,           0.0030681,            0.001737,           0.0022577,             0.00604,             0.00604,             0.00604
                  42,            0.016508,           0.0064554,            0.018867,             0.97232,             0.94211,             0.98317,              0.9173,           0.0029518,           0.0017518,            0.002275,            0.005941,            0.005941,            0.005941
                  43,            0.016849,           0.0064652,            0.019206,             0.95883,             0.95849,             0.97988,             0.93322,           0.0026352,           0.0016966,           0.0020509,            0.005842,            0.005842,            0.005842
                  44,            0.016202,           0.0062261,            0.017986,             0.97141,             0.94405,             0.98466,             0.92799,            0.002949,           0.0017655,           0.0018189,            0.005743,            0.005743,            0.005743
                  45,            0.015804,           0.0062324,            0.018214,             0.94221,             0.94907,              0.9852,             0.93726,           0.0027783,           0.0016205,           0.0022901,            0.005644,            0.005644,            0.005644
                  46,            0.015961,           0.0063727,            0.019103,              0.9736,             0.96266,             0.98894,             0.94515,            0.002636,           0.0016186,           0.0015675,            0.005545,            0.005545,            0.005545
                  47,            0.016449,           0.0063703,            0.018305,             0.97629,             0.95732,             0.98879,             0.94454,            0.002579,           0.0016634,           0.0015459,            0.005446,            0.005446,            0.005446
                  48,            0.016263,            0.006177,            0.017861,              0.9771,             0.96785,             0.99144,             0.94611,           0.0026004,           0.0016612,           0.0014555,            0.005347,            0.005347,            0.005347
                  49,            0.015779,           0.0062727,            0.017833,               0.979,             0.97016,              0.9884,             0.93872,           0.0027505,           0.0016928,           0.0015079,            0.005248,            0.005248,            0.005248
                  50,            0.015534,           0.0061806,              0.0169,             0.97241,             0.96872,             0.98962,             0.93836,           0.0026998,            0.001711,           0.0014645,            0.005149,            0.005149,            0.005149
                  51,            0.015215,           0.0060017,            0.016819,             0.97572,             0.96647,             0.99072,              0.9505,           0.0025325,           0.0015249,           0.0013644,             0.00505,             0.00505,             0.00505
                  52,            0.015079,             0.00596,            0.015881,             0.98237,             0.96572,             0.99128,             0.94581,           0.0025753,           0.0016118,           0.0015178,            0.004951,            0.004951,            0.004951
                  53,             0.01518,           0.0059944,            0.016928,             0.98362,              0.9743,             0.99091,             0.94976,           0.0026106,           0.0016122,           0.0010416,            0.004852,            0.004852,            0.004852
                  54,            0.015391,           0.0058715,            0.015634,             0.97971,             0.98052,             0.99044,             0.95251,           0.0025402,           0.0015659,           0.0012295,            0.004753,            0.004753,            0.004753
                  55,            0.014013,           0.0057783,            0.015611,             0.97715,             0.98179,             0.99164,             0.95663,           0.0024228,           0.0014994,           0.0010978,            0.004654,            0.004654,            0.004654
                  56,            0.015415,           0.0059635,            0.015585,              0.9794,             0.97727,             0.99057,             0.95033,           0.0024713,           0.0016243,           0.0011172,            0.004555,            0.004555,            0.004555
                  57,            0.014779,           0.0058378,            0.014827,             0.98832,             0.97174,             0.99081,             0.95214,           0.0025386,           0.0016005,            0.001037,            0.004456,            0.004456,            0.004456
                  58,            0.014448,           0.0058496,            0.016306,             0.98487,             0.97016,             0.99192,             0.94595,           0.0026507,           0.0016025,           0.0010712,            0.004357,            0.004357,            0.004357
                  59,            0.014578,           0.0057074,            0.014711,             0.98967,             0.97894,             0.99223,             0.95637,           0.0023742,           0.0014834,          0.00080201,            0.004258,            0.004258,            0.004258
                  60,            0.014231,           0.0058205,            0.015008,             0.98255,             0.97844,             0.99276,             0.95848,           0.0023884,           0.0015575,          0.00090763,            0.004159,            0.004159,            0.004159
                  61,            0.013852,           0.0055777,            0.013997,             0.98327,             0.98233,             0.99112,             0.95279,           0.0023952,           0.0015632,           0.0010733,             0.00406,             0.00406,             0.00406
                  62,            0.013977,           0.0056013,            0.014777,             0.97841,             0.97636,             0.99268,             0.95909,            0.002429,           0.0014772,           0.0012949,            0.003961,            0.003961,            0.003961
                  63,            0.013913,           0.0056344,            0.014587,             0.98947,             0.97737,             0.99369,               0.963,           0.0022552,           0.0014754,          0.00093723,            0.003862,            0.003862,            0.003862
                  64,            0.014224,            0.005614,            0.014686,             0.98619,             0.97106,             0.99305,             0.95431,           0.0024343,           0.0015466,           0.0010008,            0.003763,            0.003763,            0.003763
                  65,            0.012702,           0.0054441,            0.013171,             0.99186,             0.98182,             0.99354,             0.96371,           0.0023569,            0.001454,          0.00064087,            0.003664,            0.003664,            0.003664
                  66,            0.013039,            0.005561,            0.013323,             0.98316,              0.9679,             0.99247,              0.9612,            0.002313,           0.0014458,          0.00083229,            0.003565,            0.003565,            0.003565
                  67,            0.013257,           0.0054895,            0.013857,             0.98721,             0.98851,             0.99175,             0.96443,           0.0021964,           0.0014368,          0.00060799,            0.003466,            0.003466,            0.003466
                  68,            0.013446,           0.0053943,            0.012935,              0.9847,             0.97809,             0.99313,             0.96641,           0.0021351,           0.0014086,          0.00099558,            0.003367,            0.003367,            0.003367
                  69,            0.013711,           0.0053728,            0.013568,             0.98747,             0.97917,             0.99242,             0.96674,           0.0021163,           0.0013987,          0.00091117,            0.003268,            0.003268,            0.003268
                  70,            0.013278,           0.0053863,            0.012752,             0.98795,             0.98297,             0.99279,              0.9621,           0.0022286,           0.0015155,          0.00059279,            0.003169,            0.003169,            0.003169
                  71,            0.012168,           0.0052677,            0.012693,              0.9847,             0.98417,             0.99293,             0.96803,           0.0021536,           0.0013779,          0.00067004,             0.00307,             0.00307,             0.00307
                  72,            0.012597,            0.005266,            0.012644,             0.98533,             0.98825,             0.99355,             0.96484,           0.0021397,           0.0014214,          0.00050684,            0.002971,            0.002971,            0.002971
                  73,            0.012893,           0.0052697,            0.013155,             0.99095,             0.98256,              0.9933,             0.96532,           0.0021526,           0.0013751,          0.00049261,            0.002872,            0.002872,            0.002872
                  74,            0.012365,           0.0051968,            0.012303,             0.98257,             0.97736,             0.99285,             0.96992,           0.0021069,           0.0013258,          0.00088393,            0.002773,            0.002773,            0.002773
                  75,            0.013029,           0.0052937,            0.013262,               0.994,              0.9778,              0.9933,             0.96781,           0.0021636,           0.0013382,          0.00063318,            0.002674,            0.002674,            0.002674
                  76,            0.012326,           0.0051007,             0.01234,             0.99247,             0.98112,             0.99345,             0.96538,           0.0021572,           0.0013838,          0.00061892,            0.002575,            0.002575,            0.002575
                  77,            0.012212,           0.0051436,            0.011961,             0.98976,             0.98138,             0.99302,             0.96866,           0.0020868,           0.0013273,          0.00061042,            0.002476,            0.002476,            0.002476
                  78,            0.011752,           0.0050074,             0.01161,             0.98487,              0.9801,             0.99338,             0.96992,           0.0021167,           0.0013287,          0.00073027,            0.002377,            0.002377,            0.002377
                  79,            0.011969,           0.0051808,            0.011997,             0.99049,             0.98371,             0.99333,             0.96954,           0.0021117,           0.0013168,          0.00054628,            0.002278,            0.002278,            0.002278
                  80,            0.011888,           0.0051702,            0.011743,             0.99207,             0.98421,             0.99368,             0.97036,            0.002062,           0.0013176,           0.0004385,            0.002179,            0.002179,            0.002179
                  81,              0.0119,           0.0050393,            0.011273,             0.98745,             0.98402,              0.9939,             0.96998,           0.0020914,           0.0012903,          0.00060277,             0.00208,             0.00208,             0.00208
                  82,            0.011174,           0.0048217,            0.010624,             0.98891,             0.98173,             0.99365,              0.9712,           0.0020482,           0.0012672,          0.00057413,            0.001981,            0.001981,            0.001981
                  83,            0.011645,             0.00503,            0.011066,             0.98638,              0.9834,             0.99378,             0.97145,           0.0020123,           0.0013007,          0.00070105,            0.001882,            0.001882,            0.001882
                  84,            0.011533,           0.0048736,            0.010889,             0.98863,             0.98534,             0.99381,             0.97174,           0.0019589,           0.0013031,          0.00056452,            0.001783,            0.001783,            0.001783
                  85,            0.011042,           0.0048193,             0.01128,             0.98647,             0.98546,             0.99372,             0.97275,           0.0019635,           0.0013016,          0.00060397,            0.001684,            0.001684,            0.001684
                  86,              0.0104,           0.0048327,           0.0099838,             0.98652,             0.98531,              0.9937,             0.97111,           0.0019388,            0.001317,          0.00066575,            0.001585,            0.001585,            0.001585
                  87,            0.010729,           0.0047354,           0.0094411,             0.98366,             0.98882,              0.9941,             0.97219,           0.0019377,           0.0013005,            0.000541,            0.001486,            0.001486,            0.001486
                  88,            0.010607,           0.0046595,           0.0098776,             0.98914,             0.98749,             0.99385,             0.97278,           0.0019668,           0.0012915,          0.00039802,            0.001387,            0.001387,            0.001387
                  89,            0.010838,            0.004737,            0.010028,             0.99247,             0.98715,             0.99343,             0.97209,           0.0019509,           0.0012996,          0.00040278,            0.001288,            0.001288,            0.001288
                  90,           0.0098583,           0.0046871,           0.0099607,             0.98925,             0.98749,             0.99348,             0.97055,           0.0019317,           0.0012959,          0.00050607,            0.001189,            0.001189,            0.001189
                  91,           0.0097494,           0.0045475,           0.0094652,             0.98822,             0.98732,              0.9939,             0.97274,           0.0019115,           0.0012494,          0.00051403,             0.00109,             0.00109,             0.00109
                  92,           0.0098814,           0.0046515,           0.0099439,             0.98467,             0.98951,             0.99383,             0.97311,           0.0018962,           0.0012741,          0.00050235,            0.000991,            0.000991,            0.000991
                  93,           0.0094438,           0.0045539,           0.0081379,              0.9833,             0.98797,             0.99382,             0.97386,            0.001859,           0.0012507,          0.00064453,            0.000892,            0.000892,            0.000892
                  94,           0.0097913,           0.0046091,           0.0094369,              0.9844,              0.9886,             0.99394,             0.97468,           0.0018479,           0.0012303,          0.00060346,            0.000793,            0.000793,            0.000793
                  95,           0.0090581,           0.0044805,            0.008767,             0.98518,             0.98891,             0.99406,             0.97492,           0.0018406,           0.0012235,          0.00057747,            0.000694,            0.000694,            0.000694
                  96,           0.0090051,           0.0044538,           0.0089218,             0.98662,             0.98857,             0.99393,             0.97464,           0.0018475,           0.0012267,           0.0005021,            0.000595,            0.000595,            0.000595
                  97,           0.0090936,           0.0044189,             0.00879,             0.98714,             0.98844,              0.9936,             0.97438,            0.001842,            0.001203,          0.00054144,            0.000496,            0.000496,            0.000496
                  98,           0.0088453,            0.004344,           0.0084133,             0.98686,             0.98855,             0.99402,              0.9761,            0.001805,           0.0011971,          0.00048644,            0.000397,            0.000397,            0.000397
                  99,           0.0085853,           0.0043403,           0.0080223,             0.98595,             0.98901,             0.99405,             0.97626,           0.0017851,           0.0011872,          0.00052147,            0.000298,            0.000298,            0.000298
